Date,Type,Tx,Buy,Sell,BuyUnits,SellUnits
2019-04-02T00:03:14.000Z,Withdrawal,0x2621bac2cc72bd6ec390ce94f4106b05b8affcecb4819adcdfef71c1992ab275,,ETH,,1000
2019-04-03T21:02:25.000Z,Withdrawal,0x894671792f48c192fe6ed4558fb27bda48099d3cb7a20c452c4478a396c0568b,,ETH,,2000
2019-04-06T00:34:43.000Z,Withdrawal,0xae40b0e31031b55cd676fb122126b3ba59a9865a4e62dbea660e7599c216e091,,SAI,,156
2019-04-11T06:21:52.000Z,,0x70b6015e2430216b04732e343b388883f3b6924c4b4c32f40478eb831e513da2,ETH,ETH,0.000572652914074496,0.023478855
2019-04-12T22:24:46.000Z,Withdrawal,0xdd82a7b2856ef592e90af23268950ee8c193095f35246dd844a66af7117a8e59,,ETH,,0.1970293
2019-04-13T05:46:15.000Z,Deposit,0x49dcfde524230633a04ec86a840c16981a6e771297ced241246c18fdede41dfd,SAI,,10,
2019-04-13T05:51:48.000Z,Withdrawal,0x27129df0727b2c5273c99dac2986574fcef76ed9abdf2e78d46cc72f12cb800e,,SAI,,10
2019-04-17T05:00:57.000Z,Withdrawal,0x3375a60165c07369af752fe36fc49ce84f7c5f9c302c59ac01d755a9d49db857,,ETH,,200
2019-04-17T05:21:24.000Z,Withdrawal,0x14f497c777803c9233428a66f05b71bd7c0d5f374ad4a40e20ed07fbe94090b9,,ETH,,500
2019-05-02T02:33:32.000Z,Deposit,0x50bf2bfdb947375d0fcfbe00f15681e6e751f2e6cdf72ad1fd6eb5861cd36c0f,ETH,,296.83,
2019-05-03T15:56:30.000Z,Deposit,0xdce0194b29ae1b56fba3c6f10b23ab95b908319fa5d6945e97ecc284511aa642,LPT,,338.892,
2019-05-03T16:30:05.000Z,Withdrawal,0x428a39c133b433debc4394947867d5f36c15eb076e5946c1800b1a00f913651f,,LPT,,338.892
2019-05-04T03:48:24.000Z,Withdrawal,0x168831fbd1c755bb3e277a1f1e0683eee797940b6fa7befec160fa094abcedb0,,ETH,,9.1
2019-05-04T03:55:48.000Z,Deposit,0x13b9dfc36d9e20bb0a031ce828a481bea3102d1c0f273d117a017191da25fc7d,ETH,,45.4041,
2019-05-14T18:53:10.000Z,Withdrawal,0x51bfa8fd1329633c68a23a925f5770a3d0a53db49e346c455e17d9c3b7218217,,ETH,,0.00007258685900682
2019-05-22T06:33:59.000Z,Deposit,0x047957c2cb1d73e1c6385d59d98cb45986f7975b7ec4efdfb1d580bc9bb7d854,SAI,,1,
2019-05-22T07:45:48.000Z,Withdrawal,0x1c8e3b499c5a4d80ced371f1d8a90776c98244347da5946066fc17f62fd1b36c,,ETH,,1000
2019-05-27T21:52:32.000Z,Withdrawal,0xad650d26cbfbc5d570e07291f31645afc3866a0906ce82e7929ef86dc17fed89,,ETH,,1
2019-06-01T14:17:20.000Z,Withdrawal,0x81ba9e9d031f24f382b68e7f8650749057b9739509de852a3a99d5cef9f4e2d4,,ETH,,2043.5250705830974
2019-06-01T14:43:47.000Z,Withdrawal,0x4dfded5321c9e5a427ce49e0b51f4e417117f14481b0a45f77b9744e2ed81ff3,,ETH,,1500
2019-06-01T22:38:50.000Z,Deposit,0x1f019047041e3a63b5ed651d9057f11d47eee76b9a66ede785065b869e2e9083,ETH,,434,
2019-06-02T00:46:07.000Z,Deposit,0x63d8b85a6fe3d8f7d78cf948f733cab0adc2a885996e8ece9873474683f58bcc,ETH,,200.7987432,
2019-06-03T00:20:14.000Z,Withdrawal,0x751e433c95476e5bb81130a70e9f991416eb5ccba91e8acdd97e7f350184a960,,ETH,,556
2019-06-05T15:05:25.000Z,Deposit,0x1f0c38758035f2a6ef2bfc6da51078aed5c391bc28c97c184a4b5916a80848c5,ETH,,667,
2019-06-10T20:05:56.000Z,Withdrawal,0x941c5ae838a2f779f236eb0330491d30c0a7886636f437749553c9072b8cb6ef,,ETH,,10
2019-06-12T21:13:46.000Z,Withdrawal,0xd98b84ced899af712fb03cfb47ffdc6b8464efa480223fb06675e36559fa4930,,ETH,,96
2019-06-13T13:32:13.000Z,Withdrawal,0x56475c9e4d04c456210f99df794f28cad5df0c7ef25c8075ce8f346ed855fa78,,ETH,,2.31397
2019-06-13T15:25:20.000Z,Withdrawal,0x088108b2f4c9fa5296b601833baf671f6a9fd8ba849fcd9b2e129b3dfda9bbcb,,ETH,,20
2019-06-13T17:09:54.000Z,Deposit,0xfd66afaa51bd8b984d1224364eac1b73d4375acccc4febaac40e88f4b822bfe8,TUSD,,25029.444,
2019-06-13T17:12:30.000Z,Withdrawal,0xaaca59ae144a88e8e846bcce99a29a5394856137a081fc81ddf70954f12f2ad0,,ETH,,20
2019-06-15T23:15:06.000Z,Deposit,0x1872357bfb3d792f74acb886ed9ce964d9a8cb004396533059fe69f412382b09,ETH,,137.01,
2019-06-16T09:32:47.000Z,Deposit,0x98b998ce8b8e568ec922ba35815f946826c3d75b19919b69889dada83c66ffe6,ETH,,1193,
2019-06-24T08:08:23.000Z,Deposit,0x5096e7113dfcad8c747505efec83e844ad3963571d9693fb041a9901a319323d,ETH,,52.53,
2019-07-03T18:02:52.000Z,Deposit,0xa1d4470fd2974afc38b7df6e446a4b9cfd1d28ff027aefcf2d365f85bfad3a06,SAI,,1.4159463734538449,
2019-07-10T23:40:20.000Z,Withdrawal,0xe18f590b5d74ba6ef316f361f32bca9e9c750eaa5a8c6925132f76d26a1f34e7,,ETH,,1000
2019-07-11T01:25:37.000Z,Withdrawal,0x0feb94c81113fda19deb43bbb85fd55739ce4570db19d10f039829dcabedcb6e,,ETH,,260.3
2019-07-11T09:20:36.000Z,Withdrawal,0xe9b205ad938aa867c1eb86f0aa86bb9129d4ca6feccc6cec95aa5522c425ed7d,,TUSD,,2385.749967480676
2019-07-14T18:21:27.000Z,Deposit,0x3765374b2b422d0123a4ba071cea1645fe57c25b6cf19725c21f914e44646bd1,BNB,,876.37883136,
2019-07-14T19:41:56.000Z,Withdrawal,0xf5576d6b7de83ce5a6fb4921c9ea5a12f93f5379d3619b211a19b65926e17840,,BNB,,876.37883136
2019-07-15T15:39:39.000Z,Deposit,0xeae26292e14159a9a8e3e31bd0e949ee07a90c4c278bf756dbc87fd8502e1882,TUSD,,2385,
2019-07-15T17:03:14.000Z,,0x65594dc8ff9b6dc987b42993c221951186c689e520e30568fe628607e2c1a404,ETH,ETH,0.06881202490134698,0.7569322739148168
2019-07-19T04:59:26.000Z,Deposit,0x45d917aa05a40f3e1c260786180967d6819152e46669d62b3b6e25e962363bdb,BTB,,1,
2019-07-19T09:08:26.000Z,Withdrawal,0xc7b71037f4df300e7e9c68e981dbe48035a7612890a7bcc9bd3647ced6a458a3,,FOAM,,100
2019-07-21T19:47:58.000Z,Withdrawal,0xab293235f57d2f8d0fedb96f35c30381de87bf98e071b702e14ccf520aa880da,,ETH,,0.08
2019-07-25T01:13:22.000Z,Deposit,0xc0bca2d39c8207a5f04a0b79d08337cf12bc2cf7e8bb2ad8c2a578f11162d203,ETH,,138,
2019-07-30T19:01:02.000Z,Withdrawal,0x529677ce7ccbb4059719e04c99461dcdaf15df7be1a7eccd110a791097dbd283,,SAI,,675.84
2019-08-03T14:24:12.000Z,Deposit,0x8c457f33d15164b7935c4e5e4a9ad95d75cb22a62715f27423d1a1eb654ab805,ETH,,9.11e-16,
2019-08-09T13:04:25.000Z,Withdrawal,0x328ba4cb975efd62a02e810fdafced6f1cd1d40385b99d758d96df0eaac0aaa3,,SAI,,5
2019-08-09T13:12:22.000Z,Withdrawal,0x22953bf0e1a4f46136e909321cbf125018f9ca38f7eda8d234b01e26c233369b,,SAI,,5
2019-08-12T15:57:50.000Z,Withdrawal,0x07b7d8541840044438170d5287252a84699d7187ef29e5db66506db0fbd8211a,,ETH,,1
